period,Battery,Biomass,Coal,Curtailment,Diesel,Gas,Geothermal,Hydro,Nuclear,Solar,Trans_loss,Wind,scs,fossil_twh,clean_twh,vre_twh,total_twh,Hydro_share,Gas_share,Solar_share,Wind_share,Clean_share,VRE_share,Fossil_share
2030,0.0,73.51,12.58,42.93,0.0,165.38,2.1,643.74,32.83,133.95,-0.6,148.32,trd_cut90_enercon7_fixed,177.96,1034.45,282.27,1212.41,0.53,0.14,0.11,0.12,0.85,0.23,0.15
2040,-0.46,57.35,0.0,46.18,0.0,119.72,2.1,780.61,32.83,236.89,-0.56,384.39,trd_cut90_enercon7_fixed,119.72,1494.17,621.27,1613.89,0.48,0.07,0.15,0.24,0.93,0.38,0.07
2050,-21.61,75.69,0.0,159.25,0.0,24.25,2.1,812.45,120.05,320.88,-0.66,800.97,trd_cut90_enercon7_fixed,24.26,2132.13,1121.84,2156.39,0.38,0.01,0.15,0.37,0.99,0.52,0.01
2020,0.0,84.76,11.78,51.25,14.58,160.7,0.35,542.5,32.83,14.34,-0.46,27.28,trd_cut90_enercon3_fixed,187.06,702.06,41.62,889.12,0.61,0.18,0.02,0.03,0.79,0.05,0.21
2030,0.0,69.43,10.58,41.87,0.0,165.52,0.35,633.92,32.83,19.6,-0.6,280.18,trd_cut90_enercon3_fixed,176.1,1036.32,299.79,1212.42,0.52,0.14,0.02,0.23,0.85,0.25,0.15
2040,0.0,61.31,0.0,46.82,0.0,117.82,2.1,770.6,32.83,60.21,-0.56,568.93,trd_cut90_enercon3_fixed,117.82,1495.99,629.14,1613.81,0.48,0.07,0.04,0.35,0.93,0.39,0.07
2050,-8.36,28.37,0.0,189.82,0.02,24.22,2.1,770.85,32.83,259.25,-0.69,1036.8,trd_cut90_enercon3_fixed,24.24,2130.2,1296.05,2154.44,0.36,0.01,0.12,0.48,0.99,0.6,0.01
2020,0.0,83.11,19.35,51.29,11.41,162.37,0.35,542.07,32.83,14.39,-0.43,27.62,trd_vestas2_1axis,193.13,700.36,42.01,893.5,0.61,0.18,0.02,0.03,0.78,0.05,0.22
2030,0.0,70.09,18.75,42.77,0.0,203.33,0.35,634.07,32.83,119.74,-0.62,133.27,trd_vestas2_1axis,222.09,990.35,253.0,1212.43,0.52,0.17,0.1,0.11,0.82,0.21,0.18
2040,0.0,80.81,9.04,19.17,0.0,417.46,0.35,748.23,32.83,165.8,-0.55,159.28,trd_vestas2_1axis,426.5,1187.31,325.09,1613.81,0.46,0.26,0.1,0.1,0.74,0.2,0.26
