project,period,specified_capacity_mw,specified_capacity_mwh
E_Brazil_Biomass_80s,2045,0,
E_Argentina_Coal_Sub_90s,2045,981.0,
E_Brazil_Biomass_90s,2045,0,
E_Brazil_Coal_Sub_90s,2045,387.4,
E_Argentina_Diesel_00s,2045,468.8,
E_Brazil_Biomass_00s,2045,3923.8,
E_Brazil_Coal_Sub_00s,2045,297.1,
E_Brazil_Diesel_00s,2045,180.79999999999973,
E_Argentina_Coal_Sub_10s,2045,13.2,
E_Argentina_Diesel_10s,2045,1194.2,
E_Brazil_Biomass_10s,2045,6653.9,
E_Brazil_Coal_Sub_10s,2045,1148.3,
E_Brazil_Diesel_10s,2045,4116.2,
E_Chile_Biomass_10s,2045,383.9,
E_Chile_Coal_Sub_10s,2045,4600.0,
E_Chile_Diesel_10s,2045,1404.0000000000002,
E_Uruguay_Biomass_10s,2045,412.7,
E_Uruguay_Diesel_10s,2045,84.0,
E_Argentina_Gas_OCGT_60s,2045,0,
E_Brazil_Gas_OCGT_60s,2045,0,
E_Argentina_Gas_OCGT_70s,2045,0,
E_Brazil_Gas_OCGT_70s,2045,0,
E_Argentina_Gas_OCGT_80s,2045,0,
E_Brazil_Gas_OCGT_80s,2045,0,
E_Argentina_Gas_OCGT_90s,2045,1757.3,
E_Brazil_Gas_OCGT_90s,2045,110.0,
E_Argentina_Gas_OCGT_00s,2045,931.8,
E_Brazil_Gas_OCGT_00s,2045,2643.6,
