type,period,load_zone,trade,Scenario,multiplier,trade_1
import,2020,Argentina,0.0187,prm15_fix_wcost_re2_c2p1_tnt1,1,0.0187
import,2020,Brazil,0.04933,prm15_fix_wcost_re2_c2p1_tnt1,1,0.04933
import,2020,Chile,0.00019,prm15_fix_wcost_re2_c2p1_tnt1,1,0.00019
import,2020,Paraguay,0.0,prm15_fix_wcost_re2_c2p1_tnt1,1,0.0
import,2020,Uruguay,0.0101,prm15_fix_wcost_re2_c2p1_tnt1,1,0.0101
import,2025,Argentina,0.01587,prm15_fix_wcost_re2_c2p1_tnt1,1,0.01587
import,2025,Brazil,0.04094,prm15_fix_wcost_re2_c2p1_tnt1,1,0.04094
import,2025,Chile,0.00014,prm15_fix_wcost_re2_c2p1_tnt1,1,0.00014
import,2025,Paraguay,0.0,prm15_fix_wcost_re2_c2p1_tnt1,1,0.0
import,2025,Uruguay,0.03398,prm15_fix_wcost_re2_c2p1_tnt1,1,0.03398
import,2030,Argentina,0.01324,prm15_fix_wcost_re2_c2p1_tnt1,1,0.01324
import,2030,Brazil,0.03514,prm15_fix_wcost_re2_c2p1_tnt1,1,0.03514
import,2030,Chile,0.00011,prm15_fix_wcost_re2_c2p1_tnt1,1,0.00011
import,2030,Paraguay,0.0,prm15_fix_wcost_re2_c2p1_tnt1,1,0.0
import,2030,Uruguay,0.06298,prm15_fix_wcost_re2_c2p1_tnt1,1,0.06298
import,2035,Argentina,4e-05,prm15_fix_wcost_re2_c2p1_tnt1,1,4e-05
import,2035,Brazil,0.03549,prm15_fix_wcost_re2_c2p1_tnt1,1,0.03549
import,2035,Chile,7e-05,prm15_fix_wcost_re2_c2p1_tnt1,1,7e-05
import,2035,Paraguay,0.0,prm15_fix_wcost_re2_c2p1_tnt1,1,0.0
import,2035,Uruguay,0.0836,prm15_fix_wcost_re2_c2p1_tnt1,1,0.0836
import,2040,Argentina,2e-05,prm15_fix_wcost_re2_c2p1_tnt1,1,2e-05
import,2040,Brazil,0.02711,prm15_fix_wcost_re2_c2p1_tnt1,1,0.02711
import,2040,Chile,0.00013,prm15_fix_wcost_re2_c2p1_tnt1,1,0.00013
import,2040,Paraguay,0.0,prm15_fix_wcost_re2_c2p1_tnt1,1,0.0
import,2040,Uruguay,0.12168,prm15_fix_wcost_re2_c2p1_tnt1,1,0.12168
import,2045,Argentina,2e-05,prm15_fix_wcost_re2_c2p1_tnt1,1,2e-05
