period,load_zone,variable_om_cost_total,fuel_cost_total,startup_cost_total,capacity_cost,transmission_capacity_cost,mwh,MtCO2,capacity_cost_existing,tCO2_per_mwh,total_costs,costs_per_mwh,var_om_cost_per_mwh,fuel_cost_per_mwh,startup_cost_per_mwh,capacity_cost_per_mwh,tx_capacity_cost_per_mwh,capacity_cost_existing_per_mwh,scs,scs_id
2030,Argentina,1075238944.867534,1841519054.7743711,0.0,1866618280.1804256,0.0,191675397.175,45.721183233855264,5260900830.638304,0.238534438471056,4783376279.82233,24.95560906784035,5.609686797131499,9.607487877502926,0.0,9.738434393205923,0.0,27.446928026110157,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1
2030,Brazil,3906360682.304011,6189867219.751266,0.0,11791088531.160816,0.0,858175727.7,61.957185181177366,23126130036.50757,0.07219638493765031,21887316433.216095,25.504469220862692,4.55193564233454,7.212820195160671,0.0,13.73971338336748,0.0,26.94801226607515,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1
2030,Chile,452992444.38836175,1383359840.8316894,0.0,1074599475.4266014,,106979753.05,33.98011095781341,3622406248.3741913,0.31763123384601427,2910951760.646652,27.21030547982418,4.234375491375858,12.93104350488767,0.0,10.044886483560653,,33.86067124945743,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1
2030,Paraguay,327500129.6099999,0.0,0.0,110678644.76154175,,35756362.075,0.0,1263512033.2065654,0.0,438178774.3715416,12.254568108815125,9.159212811500758,0.0,0.0,3.095355297314366,,35.33670541081087,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1
2030,Uruguay,42421622.89260105,103731284.43877366,0.0,154103578.15068492,,19225896.9,0.4563600776543937,651561439.1714932,0.023736738006453872,300256485.4820596,15.617294061431258,2.206483427704278,5.395393774257349,0.0,8.015416859469632,,33.88978119254833,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1
2035,Argentina,1260336686.533994,2364399528.544949,0.0,2636222982.3485246,0.0,227100883.425,58.22493176749395,5008257183.020065,0.2563835546977197,6260959197.427467,27.569065795797076,5.549677603743095,10.411229991211334,0.0,11.60815820084265,0.0,22.05300616839758,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1
2035,Brazil,4312430356.498148,8830309279.346972,0.0,15238643213.83618,0.0,980934147.575,91.93823592411621,22903000262.091183,0.09372518649840031,28381382849.681297,28.93301545250908,4.39624858320923,9.001938918302185,0.0,15.534827950997666,0.0,23.34815269578539,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1
2035,Chile,527531247.7474145,1606277951.861738,0.0,1327816931.3160326,,121510838.55,39.62132549160543,3622406248.3741913,0.32607235670834267,3461626130.925185,28.488208724695575,4.34143368643072,13.219215429912264,0.0,10.927559608352588,,29.81138383703625,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1
2035,Paraguay,327500129.60999995,0.0,0.0,110678644.76154175,,45374992.75,0.0,1263512033.2065654,0.0,438178774.37154174,9.65683403600195,7.217634863644137,0.0,0.0,2.439199172357813,,27.845999671406346,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1
2035,Uruguay,41243248.04636725,85801727.56822246,609139.5282737698,395387975.4149451,,22922726.725,0.29926009479734594,651561439.1714932,0.013055170023510627,523042090.55780864,22.8176209939007,1.799229582987896,3.7430855673311028,0.026573606865427122,17.248732236716272,,28.424255412026824,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1
