,Latitude,Longitude,project,load_zone,biome
238,-40.25,-65.75,p_wind_Argentina_AR564,Argentina,Patagonia
239,-40.75,-65.75,p_wind_Argentina_AR565,Argentina,Patagonia
240,-41.25,-65.75,p_wind_Argentina_AR566,Argentina,Patagonia
241,-41.75,-65.75,p_wind_Argentina_AR567,Argentina,Patagonia
242,-42.25,-65.75,p_wind_Argentina_AR568,Argentina,Patagonia
243,-42.75,-65.75,p_wind_Argentina_AR569,Argentina,Patagonia
244,-43.25,-65.75,p_wind_Argentina_AR570,Argentina,Patagonia
245,-43.75,-65.75,p_wind_Argentina_AR571,Argentina,Patagonia
246,-44.25,-65.75,p_wind_Argentina_AR572,Argentina,Patagonia
247,-44.75,-65.75,p_wind_Argentina_AR573,Argentina,Patagonia
248,-47.25,-65.75,p_wind_Argentina_AR574,Argentina,Patagonia
249,-54.75,-65.75,p_wind_Argentina_AR575,Argentina,Patagonia
250,-34.25,-65.25,p_wind_Argentina_AR600,Argentina,Pampas
251,-34.75,-65.25,p_wind_Argentina_AR601,Argentina,Pampas
252,-35.25,-65.25,p_wind_Argentina_AR602,Argentina,Pampas
253,-35.75,-65.25,p_wind_Argentina_AR603,Argentina,Pampas
254,-36.25,-65.25,p_wind_Argentina_AR604,Argentina,Pampas
255,-36.75,-65.25,p_wind_Argentina_AR605,Argentina,Pampas
256,-37.25,-65.25,p_wind_Argentina_AR606,Argentina,Pampas
257,-37.75,-65.25,p_wind_Argentina_AR607,Argentina,Patagonia
258,-38.25,-65.25,p_wind_Argentina_AR608,Argentina,Patagonia
259,-38.75,-65.25,p_wind_Argentina_AR609,Argentina,Patagonia
260,-39.25,-65.25,p_wind_Argentina_AR610,Argentina,Patagonia
261,-39.75,-65.25,p_wind_Argentina_AR611,Argentina,Patagonia
262,-41.25,-65.25,p_wind_Argentina_AR614,Argentina,Patagonia
263,-41.75,-65.25,p_wind_Argentina_AR615,Argentina,Patagonia
264,-42.25,-65.25,p_wind_Argentina_AR616,Argentina,Patagonia
265,-42.75,-65.25,p_wind_Argentina_AR617,Argentina,Patagonia
266,-43.25,-65.25,p_wind_Argentina_AR618,Argentina,Patagonia
267,-54.75,-65.25,p_wind_Argentina_AR619,Argentina,Patagonia
268,-33.75,-64.75,p_wind_Argentina_AR643,Argentina,Pampas
269,-34.25,-64.75,p_wind_Argentina_AR644,Argentina,Pampas
270,-34.75,-64.75,p_wind_Argentina_AR645,Argentina,Pampas
271,-35.25,-64.75,p_wind_Argentina_AR646,Argentina,Pampas
272,-35.75,-64.75,p_wind_Argentina_AR647,Argentina,Pampas
273,-36.25,-64.75,p_wind_Argentina_AR648,Argentina,Pampas
274,-36.75,-64.75,p_wind_Argentina_AR649,Argentina,Pampas
275,-37.25,-64.75,p_wind_Argentina_AR650,Argentina,Pampas
276,-37.75,-64.75,p_wind_Argentina_AR651,Argentina,Patagonia
277,-38.25,-64.75,p_wind_Argentina_AR652,Argentina,Patagonia
278,-38.75,-64.75,p_wind_Argentina_AR653,Argentina,Patagonia
279,-39.25,-64.75,p_wind_Argentina_AR654,Argentina,Patagonia
280,-39.75,-64.75,p_wind_Argentina_AR655,Argentina,Patagonia
281,-42.25,-64.75,p_wind_Argentina_AR658,Argentina,Patagonia
282,-33.25,-64.25,p_wind_Argentina_AR680,Argentina,Pampas
283,-33.75,-64.25,p_wind_Argentina_AR681,Argentina,Pampas
284,-34.25,-64.25,p_wind_Argentina_AR682,Argentina,Pampas
285,-34.75,-64.25,p_wind_Argentina_AR683,Argentina,Pampas
286,-35.25,-64.25,p_wind_Argentina_AR684,Argentina,Pampas
287,-35.75,-64.25,p_wind_Argentina_AR685,Argentina,Pampas
288,-36.25,-64.25,p_wind_Argentina_AR686,Argentina,Pampas
289,-36.75,-64.25,p_wind_Argentina_AR687,Argentina,Pampas
290,-37.25,-64.25,p_wind_Argentina_AR688,Argentina,Pampas
291,-37.75,-64.25,p_wind_Argentina_AR689,Argentina,Patagonia
292,-38.25,-64.25,p_wind_Argentina_AR690,Argentina,Patagonia
293,-38.75,-64.25,p_wind_Argentina_AR691,Argentina,Patagonia
294,-39.25,-64.25,p_wind_Argentina_AR692,Argentina,Patagonia
295,-39.75,-64.25,p_wind_Argentina_AR693,Argentina,Patagonia
296,-40.25,-64.25,p_wind_Argentina_AR694,Argentina,Patagonia
297,-40.75,-64.25,p_wind_Argentina_AR695,Argentina,Patagonia
298,-42.75,-64.25,p_wind_Argentina_AR696,Argentina,Patagonia
299,-54.75,-64.25,p_wind_Argentina_AR697,Argentina,Patagonia
300,-32.75,-63.75,p_wind_Argentina_AR719,Argentina,Pampas
301,-33.25,-63.75,p_wind_Argentina_AR720,Argentina,Pampas
302,-33.75,-63.75,p_wind_Argentina_AR721,Argentina,Pampas
303,-34.25,-63.75,p_wind_Argentina_AR722,Argentina,Pampas
304,-34.75,-63.75,p_wind_Argentina_AR723,Argentina,Pampas
305,-35.25,-63.75,p_wind_Argentina_AR724,Argentina,Pampas
306,-35.75,-63.75,p_wind_Argentina_AR725,Argentina,Pampas
307,-36.25,-63.75,p_wind_Argentina_AR726,Argentina,Pampas
308,-36.75,-63.75,p_wind_Argentina_AR727,Argentina,Pampas
309,-37.25,-63.75,p_wind_Argentina_AR728,Argentina,Pampas
310,-37.75,-63.75,p_wind_Argentina_AR729,Argentina,Pampas
