lz_from,lz_to,period,net_flow_twh,scenario,policy,turbine,solar
Argentina,Uruguay,2025,0.17387996,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Uruguay,2030,0.346588181,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Uruguay,2035,0.487326224,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Uruguay,2040,0.738543517,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Uruguay,2045,0.643813753,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Uruguay,2050,1.037018381,trd_cut90_ge15_1axis,cut90,ge15,1axis
Brazil,Paraguay,2020,0,trd_cut90_ge15_1axis,cut90,ge15,1axis
Brazil,Paraguay,2025,0,trd_cut90_ge15_1axis,cut90,ge15,1axis
Brazil,Paraguay,2030,0,trd_cut90_ge15_1axis,cut90,ge15,1axis
Brazil,Paraguay,2035,0,trd_cut90_ge15_1axis,cut90,ge15,1axis
Brazil,Paraguay,2040,0,trd_cut90_ge15_1axis,cut90,ge15,1axis
Brazil,Paraguay,2045,0,trd_cut90_ge15_1axis,cut90,ge15,1axis
Brazil,Paraguay,2050,0,trd_cut90_ge15_1axis,cut90,ge15,1axis
Brazil,Uruguay,2020,-0.077803409,trd_cut90_ge15_1axis,cut90,ge15,1axis
Brazil,Uruguay,2025,1.369563763,trd_cut90_ge15_1axis,cut90,ge15,1axis
Brazil,Uruguay,2030,1.577638599,trd_cut90_ge15_1axis,cut90,ge15,1axis
