,scenario,technology,biome,new_build_mw,sc_group
333,prm15_wcost_re5_c2p1_co2_cut90p_t1,SolarPV,Gran Chaco,10787.537268673937,3.0
334,prm15_wcost_re5_c2p1_co2_cut90p_t1,SolarPV,Monte Desert,2253.6,3.0
335,prm15_wcost_re5_c2p1_co2_cut90p_t1,SolarPV,Pampas,4906.6,3.0
336,prm15_wcost_re5_c2p1_co2_cut90p_t1,Wind,Caatinga,154872.0,3.0
337,prm15_wcost_re5_c2p1_co2_cut90p_t1,Wind,Coastal,2397.0,3.0
338,prm15_wcost_re5_c2p1_co2_cut90p_t1,Wind,Gran Chaco,3377.9084346997256,3.0
339,prm15_wcost_re5_c2p1_co2_cut90p_t1,Wind,Pampas,60406.14682376228,3.0
340,prm15_wcost_re5_c2p1_co2_cut90p_t1,Wind,Patagonia,70560.63270372101,3.0
341,prm15_wcost_re5_c2p1_t1,SolarPV,Atacama/Andes,16021.333350023806,1.0
342,prm15_wcost_re5_c2p1_t1,SolarPV,Caatinga,68063.1,1.0
343,prm15_wcost_re5_c2p1_t1,SolarPV,Cerrado,73171.29867398652,1.0
344,prm15_wcost_re5_c2p1_t1,SolarPV,Gran Chaco,6060.2,1.0
345,prm15_wcost_re5_c2p1_t1,SolarPV,Monte Desert,0.0,1.0
346,prm15_wcost_re5_c2p1_t1,SolarPV,Pampas,5155.241805602406,1.0
347,prm15_wcost_re5_c2p1_t1,Wind,Caatinga,49913.10934414305,1.0
348,prm15_wcost_re5_c2p1_t1,Wind,Coastal,0.0,1.0
349,prm15_wcost_re5_c2p1_t1,Wind,Gran Chaco,48.83068719731842,1.0
350,prm15_wcost_re5_c2p1_t1,Wind,Pampas,14562.635064140195,1.0
351,prm15_wcost_re5_c2p1_t1,Wind,Patagonia,0.0,1.0
352,prm15_wcost_re6_c2p1_co2_cut90p_t1,SolarPV,Atacama/Andes,54246.76191396166,3.0
353,prm15_wcost_re6_c2p1_co2_cut90p_t1,SolarPV,Caatinga,63747.783715770915,3.0
354,prm15_wcost_re6_c2p1_co2_cut90p_t1,SolarPV,Cerrado,84189.4,3.0
355,prm15_wcost_re6_c2p1_co2_cut90p_t1,SolarPV,Gran Chaco,9430.771863919399,3.0
356,prm15_wcost_re6_c2p1_co2_cut90p_t1,SolarPV,Monte Desert,1354.6,3.0
357,prm15_wcost_re6_c2p1_co2_cut90p_t1,SolarPV,Pampas,4577.98123627384,3.0
358,prm15_wcost_re6_c2p1_co2_cut90p_t1,Wind,Caatinga,151587.03506389307,3.0
359,prm15_wcost_re6_c2p1_co2_cut90p_t1,Wind,Coastal,3348.0,3.0
360,prm15_wcost_re6_c2p1_co2_cut90p_t1,Wind,Gran Chaco,3254.7331078818797,3.0
361,prm15_wcost_re6_c2p1_co2_cut90p_t1,Wind,Pampas,60902.1245410171,3.0
362,prm15_wcost_re6_c2p1_co2_cut90p_t1,Wind,Patagonia,64489.034443390985,3.0
363,prm15_wcost_re6_c2p1_t1,SolarPV,Atacama/Andes,15583.65254046558,1.0
364,prm15_wcost_re6_c2p1_t1,SolarPV,Caatinga,56972.070739384006,1.0
365,prm15_wcost_re6_c2p1_t1,SolarPV,Cerrado,69527.2,1.0
366,prm15_wcost_re6_c2p1_t1,SolarPV,Gran Chaco,3841.6,1.0
367,prm15_wcost_re6_c2p1_t1,SolarPV,Monte Desert,0.0,1.0
368,prm15_wcost_re6_c2p1_t1,SolarPV,Pampas,4756.395760393116,1.0
369,prm15_wcost_re6_c2p1_t1,Wind,Caatinga,74304.0,1.0
370,prm15_wcost_re6_c2p1_t1,Wind,Coastal,0.0,1.0
371,prm15_wcost_re6_c2p1_t1,Wind,Gran Chaco,1809.3780187943678,1.0
372,prm15_wcost_re6_c2p1_t1,Wind,Pampas,14572.20628628062,1.0
373,prm15_wcost_re6_c2p1_t1,Wind,Patagonia,3258.0,1.0
374,prm15_wcost_re7_c2p1_co2_cut90p_t1,SolarPV,Atacama/Andes,56236.986135326515,3.0
375,prm15_wcost_re7_c2p1_co2_cut90p_t1,SolarPV,Caatinga,68549.60302572096,3.0
376,prm15_wcost_re7_c2p1_co2_cut90p_t1,SolarPV,Cerrado,84189.4,3.0
377,prm15_wcost_re7_c2p1_co2_cut90p_t1,SolarPV,Gran Chaco,10279.702747232897,3.0
378,prm15_wcost_re7_c2p1_co2_cut90p_t1,SolarPV,Monte Desert,2253.6,3.0
379,prm15_wcost_re7_c2p1_co2_cut90p_t1,SolarPV,Pampas,5002.104186456867,3.0
380,prm15_wcost_re7_c2p1_co2_cut90p_t1,Wind,Caatinga,160372.93995426226,3.0
381,prm15_wcost_re7_c2p1_co2_cut90p_t1,Wind,Coastal,2397.0,3.0
382,prm15_wcost_re7_c2p1_co2_cut90p_t1,Wind,Gran Chaco,3382.244762046632,3.0
383,prm15_wcost_re7_c2p1_co2_cut90p_t1,Wind,Pampas,61139.62185937908,3.0
384,prm15_wcost_re7_c2p1_co2_cut90p_t1,Wind,Patagonia,67282.687408479,3.0
385,prm15_wcost_re7_c2p1_t1,SolarPV,Atacama/Andes,15759.66629775337,1.0
386,prm15_wcost_re7_c2p1_t1,SolarPV,Caatinga,66719.3,1.0
387,prm15_wcost_re7_c2p1_t1,SolarPV,Cerrado,72474.9,1.0
388,prm15_wcost_re7_c2p1_t1,SolarPV,Gran Chaco,5621.4,1.0
