period,load_zone,Battery,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,scs
2035,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trade Siemens SWT 3.6 107 Single-Axis
2035,Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6886838189577131,0.0,-0.5002829449229957,Trade Siemens SWT 3.6 107 Single-Axis
2040,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4904041668947805,0.0,0.0,0.0,-0.8869999999999998,0.0,0.0,0.0,2.0443999978470053,0.0,-1.3577452087162036,Trade Siemens SWT 3.6 107 Single-Axis
2040,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.531363575255611,0.0,0.0,0.0,-7.784999999999997,0.0,0.0,0.0,25.934029209620768,0.0,-27.816,Trade Siemens SWT 3.6 107 Single-Axis
2040,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6165979374624833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4404472872825296,0.0,0.0,Trade Siemens SWT 3.6 107 Single-Axis
2040,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trade Siemens SWT 3.6 107 Single-Axis
2040,Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9370959434966437,0.0,-0.8451465584702562,Trade Siemens SWT 3.6 107 Single-Axis
2045,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.265208084138749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0443999978470053,0.0,-1.3577452087162036,Trade Siemens SWT 3.6 107 Single-Axis
2045,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.318307692215463,0.0,0.0,0.0,1.375,0.0,0.0,0.0,26.146326885676032,0.0,-26.973,Trade Siemens SWT 3.6 107 Single-Axis
2045,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22804238885959016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44044728728253,0.0,0.0,Trade Siemens SWT 3.6 107 Single-Axis
2045,Paraguay,-6.661338147750939e-16,0.0,0.0,0.0,0.0,0.0,1.0685896612017132e-15,0.0,-6.661338147750939e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.771561172376096e-16,0.0,0.0,Trade Siemens SWT 3.6 107 Single-Axis
2045,Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5963183002413741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8801642052252459,0.0,-0.49916614308975804,Trade Siemens SWT 3.6 107 Single-Axis
2050,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.168624701876979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0443999978470053,0.0,-8.991,Trade Siemens SWT 3.6 107 Single-Axis
2050,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.616755758492346,0.0,0.0,0.0,3.853999999999999,0.0,0.0,0.0,12.223899999999986,0.0,-32.95990357861417,Trade Siemens SWT 3.6 107 Single-Axis
2050,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trade Siemens SWT 3.6 107 Single-Axis
2050,Paraguay,0.46559888998599597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2110365397575178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2738542327245725,0.0,-1.8809891765592095,Trade Siemens SWT 3.6 107 Single-Axis
2050,Uruguay,0.09810327328021118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5963183002413741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444759841273047,0.0,-0.012518920007490664,Trade Siemens SWT 3.6 107 Single-Axis
2025,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0237394811810292,0.0,0.0,Trade Siemens SWT 2.3 93 Single-Axis
2025,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5258906722749366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.682100000000002,0.0,-9.378911826531487,Trade Siemens SWT 2.3 93 Single-Axis
2025,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.552713678800501e-15,0.0,0.0,Trade Siemens SWT 2.3 93 Single-Axis
2025,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trade Siemens SWT 2.3 93 Single-Axis
2025,Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trade Siemens SWT 2.3 93 Single-Axis
