,Latitude,Longitude,project,load_zone,biome
307,-27.25,-66.25,p_solar_Argentina_AR489,Argentina,Atacama/Andes
308,-27.75,-66.25,p_solar_Argentina_AR490,Argentina,Atacama/Andes
309,-31.25,-66.25,p_solar_Argentina_AR497,Argentina,Monte Desert
310,-31.75,-66.25,p_solar_Argentina_AR498,Argentina,Monte Desert
311,-32.25,-66.25,p_solar_Argentina_AR499,Argentina,Monte Desert
312,-32.75,-66.25,p_solar_Argentina_AR500,Argentina,Monte Desert
313,-33.75,-66.25,p_solar_Argentina_AR502,Argentina,Monte Desert
314,-34.25,-66.25,p_solar_Argentina_AR503,Argentina,Monte Desert
315,-34.75,-66.25,p_solar_Argentina_AR504,Argentina,Monte Desert
316,-35.25,-66.25,p_solar_Argentina_AR505,Argentina,Monte Desert
317,-35.75,-66.25,p_solar_Argentina_AR506,Argentina,Monte Desert
318,-36.25,-66.25,p_solar_Argentina_AR507,Argentina,Monte Desert
319,-36.75,-66.25,p_solar_Argentina_AR508,Argentina,Monte Desert
320,-37.25,-66.25,p_solar_Argentina_AR509,Argentina,Monte Desert
321,-37.75,-66.25,p_solar_Argentina_AR510,Argentina,Monte Desert
322,-38.25,-66.25,p_solar_Argentina_AR511,Argentina,Monte Desert
323,-38.75,-66.25,p_solar_Argentina_AR512,Argentina,Monte Desert
324,-39.25,-66.25,p_solar_Argentina_AR513,Argentina,Monte Desert
325,-39.75,-66.25,p_solar_Argentina_AR514,Argentina,Monte Desert
326,-40.25,-66.25,p_solar_Argentina_AR515,Argentina,Monte Desert
327,-40.75,-66.25,p_solar_Argentina_AR516,Argentina,Monte Desert
328,-41.25,-66.25,p_solar_Argentina_AR517,Argentina,Monte Desert
329,-41.75,-66.25,p_solar_Argentina_AR518,Argentina,Monte Desert
330,-42.25,-66.25,p_solar_Argentina_AR519,Argentina,Monte Desert
331,-42.75,-66.25,p_solar_Argentina_AR520,Argentina,Monte Desert
332,-43.25,-66.25,p_solar_Argentina_AR521,Argentina,Monte Desert
333,-43.75,-66.25,p_solar_Argentina_AR522,Argentina,Monte Desert
334,-44.25,-66.25,p_solar_Argentina_AR523,Argentina,Monte Desert
335,-44.75,-66.25,p_solar_Argentina_AR524,Argentina,Monte Desert
336,-47.25,-66.25,p_solar_Argentina_AR525,Argentina,Monte Desert
337,-47.75,-66.25,p_solar_Argentina_AR526,Argentina,Monte Desert
338,-22.25,-65.75,p_solar_Argentina_AR528,Argentina,Atacama/Andes
339,-22.75,-65.75,p_solar_Argentina_AR529,Argentina,Atacama/Andes
340,-23.25,-65.75,p_solar_Argentina_AR530,Argentina,Atacama/Andes
