period,load_zone,Battery_new,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,scs
2025,Uruguay,0.0,0.425,0.0,0.0,0.0,0.084,0.0,1.106,0.0,0.0,0.0,1.538,0.0,0.0,0.0,0.256,0.0,1.514,0.0,prm15_wcost_re3_c2p1_t1
2030,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.2543,0.0,0.0,0.0,11.31,0.8,1.755,0.0,0.439,7.134310606093095,1.609,0.0,prm15_wcost_re3_c2p1_t1
2030,Brazil,0.0,13.3007,0.0,5.856,0.0,4.297,0.0,16.115,14.079515031075626,0.0,0.0,104.603,11.585,1.99,0.0,2.074,76.45862721838745,1.487,0.0,prm15_wcost_re3_c2p1_t1
2030,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,1.5623499689243068,0.04,0.0,6.949,0.275,0.0,0.0,3.258,2.8322,2.507,0.0,prm15_wcost_re3_c2p1_t1
2030,Paraguay,0.5082599999999998,0.022,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,8.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prm15_wcost_re3_c2p1_t1
2030,Uruguay,0.0,0.425,0.0,0.0,0.0,0.084,0.0,1.106,0.0,0.0,0.0,1.538,0.0,0.0,0.0,0.256,0.782292516314266,1.514,0.0,prm15_wcost_re3_c2p1_t1
2035,Argentina,0.0,0.046,0.0,3.1924,0.0,1.663,0.0,18.2543,8.352215691830331,0.0,0.0,11.31,1.171,1.755,0.0,0.439,7.134310606093095,1.609,0.0,prm15_wcost_re3_c2p1_t1
2035,Brazil,0.0,12.7812,0.0,5.604,0.0,4.297,0.0,16.0133,30.84945048233631,0.0,0.0,104.603,20.795,1.99,0.0,2.074,78.93405428736473,1.487,0.0,prm15_wcost_re3_c2p1_t1
2035,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,6.4704988258333325,0.04,0.0,6.949,0.575,0.0,0.0,3.258,2.8322,2.507,0.0,prm15_wcost_re3_c2p1_t1
2035,Paraguay,0.5082599999999998,0.022,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,8.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prm15_wcost_re3_c2p1_t1
2035,Uruguay,0.0,0.425,0.0,0.0,0.0,0.084,0.0,1.106,0.0,0.0,0.0,1.538,0.0,0.0,0.0,0.256,2.3756999999999997,1.514,0.0,prm15_wcost_re3_c2p1_t1
