type,load_zone,multiplier,period,trade,trade_1,scenario,full_name,short_name,emis_policy,exist_trd,op_char,fixed_pv,pol,group
import,Argentina,1,14245,56.2983,56.2983,prm15_wcost_re1_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V90 2000 Single-Axis,cut90_vestas2_1axis,1,0,1,0,"90%Cut,Full",100
import,Argentina,1,14245,23.2957,23.2957,prm15_wcost_re13_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V90 3000 Fixed,cut90_vestas3_fixed,1,0,13,1,"90%Cut,Full",101
import,Argentina,1,14245,22.58738,22.58738,prm15_wcost_re15_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 2.3 93 Fixed,cut90_siemens23_fixed,1,0,15,1,"90%Cut,Full",101
import,Brazil,1,14245,297.84334,297.84334,prm15_wcost_re13_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V90 3000 Fixed,cut90_vestas3_fixed,1,0,13,1,"90%Cut,Full",101
import,Uruguay,1,14245,12.07075,12.07075,prm15_wcost_re20_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E101 3000 Fixed,cut90_enercon3_fixed,1,0,20,1,"90%Cut,Full",101
import,Uruguay,1,14245,16.69426,16.69426,prm15_wcost_re13_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V90 3000 Fixed,cut90_vestas3_fixed,1,0,13,1,"90%Cut,Full",101
import,Chile,1,14245,168.51383,168.51383,prm15_wcost_re14_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 3.6 107 Fixed,cut90_siemens36_fixed,1,0,14,1,"90%Cut,Full",101
import,Chile,1,14245,105.03923,105.03923,prm15_wcost_re4_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 3.6 107 Single-Axis,cut90_siemens36_1axis,1,0,4,0,"90%Cut,Full",100
import,Chile,1,14245,171.01841000000002,171.01841000000002,prm15_wcost_re12_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V164 7000 Fixed,cut90_vestas7_fixed,1,0,12,1,"90%Cut,Full",101
import,Chile,1,14245,99.52269,99.52269,prm15_wcost_re2_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V164 7000 Single-Axis,cut90_vestas7_1axis,1,0,2,0,"90%Cut,Full",100
