lz_from,lz_to,connection,period,net_flow_twh,sc_name,short_name,emis_policy,exist_trd,op_char,fixed_pv,pol,group
Brazil,Paraguay,Brazil-Paraguay,14245,229.20714655603524,prm15_wcost_re15_c2p1_co2_cut90p_tn,cut90_siemens23_fixed,1,0,15,1,"90%Cut,Full",101
Brazil,Paraguay,Brazil-Paraguay,14245,203.64864277058214,prm15_wcost_re1_c2p1_co2_cut90p_tn,cut90_vestas2_1axis,1,0,1,0,"90%Cut,Full",100
Brazil,Paraguay,Brazil-Paraguay,14245,227.69003692796437,prm15_wcost_re17_c2p1_co2_cut90p_tn,cut90_ge15_fixed,1,0,17,1,"90%Cut,Full",101
Argentina,Paraguay,Argentina-Paraguay,14245,2.956120687451162,prm15_wcost_re13_c2p1_co2_cut90p_tn,cut90_vestas3_fixed,1,0,13,1,"90%Cut,Full",101
Brazil,Paraguay,Brazil-Paraguay,14245,228.23258245591643,prm15_wcost_re8_c2p1_co2_cut90p_tn,cut90_gamesa2_1axis,1,0,8,0,"90%Cut,Full",100
Brazil,Paraguay,Brazil-Paraguay,14245,227.8651079346186,prm15_wcost_re9_c2p1_co2_cut90p_tn,cut90_enercon7_1axis,1,0,9,0,"90%Cut,Full",100
Brazil,Paraguay,Brazil-Paraguay,14245,180.09207980759217,prm15_wcost_re10_c2p1_tn,enercon3_1axis,0,0,10,0,"NoCut,Full",000
Brazil,Paraguay,Brazil-Paraguay,14245,184.63533530352035,prm15_wcost_re11_c2p1_tn,vestas2_fixed,0,0,11,1,"NoCut,Full",001
Brazil,Paraguay,Brazil-Paraguay,14245,177.51460123231402,prm15_wcost_re12_c2p1_tn,vestas7_fixed,0,0,12,1,"NoCut,Full",001
Brazil,Paraguay,Brazil-Paraguay,14245,176.2435783869388,prm15_wcost_re14_c2p1_tn,siemens36_fixed,0,0,14,1,"NoCut,Full",001
Brazil,Paraguay,Brazil-Paraguay,14245,177.18089108120742,prm15_wcost_re15_c2p1_tn,siemens23_fixed,0,0,15,1,"NoCut,Full",001
Brazil,Paraguay,Brazil-Paraguay,14245,184.90418823186653,prm15_wcost_re16_c2p1_tn,ge25_fixed,0,0,16,1,"NoCut,Full",001
