horizon,variable,value,pol,month
205010,prm15_fix_wcost_re2_c2p1_tnt1,0.3744273805128559,False,69
205011,prm15_fix_wcost_re2_c2p1_tnt1,1.043358949099516,False,70
205012,prm15_fix_wcost_re2_c2p1_tnt1,0.8984341691519933,False,71
202501,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,0
202502,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,1
202503,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,2
202504,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,3.1420580893742858,True,3
202505,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,4
202506,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,5
202507,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,6
202508,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,7
202509,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,8
202510,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,9
202511,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,10
202512,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,11
203001,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,12
203002,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,13
203003,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,14
203004,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,4.475557428298184,True,15
203005,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,16
203006,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,17
203007,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,18
203008,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,19
203009,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,20
203010,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,21
203011,prm15_fix_wcost_re3_c2p1_co2_cut90p_tnt1,0.0,True,22
